,keys,CPI,CPI_E,SP500,NASDAQ
936,2010-07-01,217.605,157.111,1086.123999,2223.6720702
937,2011-04-01,224.093,155.909,1332.40669767,2792.12662767
938,2011-04-01,224.093,155.909,1328.83333333,2782.486735
939,2015-07-01,237.734,168.777,2098.649902,5135.603353
940,2008-07-01,219.016,150.413,1255.45332833,2293.31005867
941,2012-08-01,229.844,161.244,1413.066691,3056.63663767
942,2008-05-01,215.208,149.781,1392.843343,2445.08333333
943,2007-05-01,206.755,147.807,1501.310018,2565.14998367
944,2012-07-01,228.475,162.377,1369.036662,2967.81005833
945,2008-02-01,212.687,149.38,1353.72998025,2337.07751475
946,2010-06-01,217.199,156.466,1088.69665533,2267.756673
947,2015-02-01,235.415,166.217,2053.166667,4742.06673167
948,2013-03-01,232.313,160.553,1559.483317,3251.040039
949,2011-08-01,226.106,158.099,1152.69002267,2411.25
950,2010-01-01,217.488,153.411,1143.39001467,2304.20996067
951,2007-08-01,207.667,145.781,1468.07332367,2571.45328767
952,2009-05-01,213.022,149.799,918.716674667,1738.113322
953,2013-05-01,231.895,160.51,1656.76498425,3474.61004625
954,2015-12-01,238.041,171.884,2040.170044,4998.919922
955,2008-07-01,219.016,150.413,1264.16333,2305.506673
956,2009-10-01,216.509,153.445,1092.086711,2167.44002267
957,2006-08-01,203.8,142.4,1268.16666667,2063.24332667
958,2010-08-01,217.923,157.372,1124.896688,2295.033366
959,2012-07-01,228.475,162.377,1361.29333533,2901.860026
960,2015-01-01,234.954,164.704,2007.78670267,4614.83984367
961,2007-01-01,203.437,146.873,1423.13330067,2482.33341467
962,2010-10-01,219.035,156.014,1161.060018,2388.746582
963,2008-03-01,213.448,149.993,1327.36999533,2288.790039
964,2015-08-01,237.703,168.727,2086.993327,5042.06347667
965,2008-05-01,215.208,149.781,1396.493327,2505.89331033
966,2006-11-01,202.0,144.5,1381.64998367,2383.55664067
967,2011-09-01,226.597,157.549,1204.60001633,2600.643392
968,2008-04-01,213.942,149.302,1349.28999833,2321.35335267
969,2011-03-01,223.046,156.833,1307.00004067,2725.92667667
970,2011-06-01,224.806,157.685,1279.84667967,2667.99332667
971,2007-08-01,207.667,145.781,1421.303304,2471.64339167
972,2006-06-01,201.8,142.1,1255.7659912,2138.4459962
973,2013-06-01,232.357,161.467,1625.20332833,3423.11669933
974,2008-09-01,218.877,152.102,1251.37333167,2282.88330067
975,2009-09-01,215.861,154.168,1052.01000967,2109.983317
976,2015-06-01,237.423,168.494,2100.91341133,5075.60335267
977,2007-12-01,211.445,148.62,1465.85998533,2644.62003567
978,2008-08-01,218.69,151.822,1270.65002467,2322.07666033
979,2009-01-01,211.933,152.84,848.370015667,1514.199992
980,2012-10-01,231.655,162.113,1457.773356,3140.293294
981,2015-01-01,234.954,164.704,2044.28332533,4696.90999333
982,2009-06-01,214.79,153.013,943.416687,1858.08333333
983,2009-08-01,215.445,155.574,1028.319995,2024.6280028
984,2008-12-01,211.398,152.546,892.526672333,1565.33333333
985,2014-07-01,237.259,166.455,1973.4024655,4452.6225585
986,2006-10-01,201.9,143.8,1351.003296,2299.093343
987,2012-06-01,228.506,161.967,1341.016683,2886.62003567
988,2015-06-01,237.423,168.494,2104.126709,5105.036621
989,2010-12-01,220.472,156.175,1233.893351,2621.123291
990,2006-11-01,202.0,144.5,1402.587494,2458.45001225
991,2015-07-01,237.734,168.777,2068.73748775,4991.9176025
992,2009-05-01,213.022,149.799,896.73249825,1712.41000375
993,2010-02-01,217.281,153.701,1105.14335133,2237.290039
994,2015-12-01,238.041,171.884,2062.6400145,5047.210205
995,2015-04-01,236.197,168.73,2091.71329767,4973.786621
996,2011-11-01,227.169,155.496,1175.3700255,2486.5025025
997,2014-11-01,237.261,163.637,2028.89998367,4630.573405
998,2011-02-01,221.898,156.882,1323.96667467,2796.31998667
999,2007-12-01,211.445,148.62,1487.21749875,2697.289978
1000,2010-03-01,217.353,153.358,1163.97998033,2384.92667633
1001,2012-04-01,229.286,157.378,1380.196696,3013.15332033
1002,2014-06-01,237.016,165.117,1959.77665167,4363.40332033
1003,2007-11-01,210.834,148.806,1432.6099855,2587.2349855
1004,2012-02-01,228.377,157.399,1354.16666633,2942.486735
1005,2011-05-01,224.806,157.739,1340.873291,2823.50333667
