,MPAA,distributor,dt_obj,genre,production_budget,runtime,title1,title2,total_revenues,day,month,season,sleeper,year
162,R,Sony / Columbia,2003-07-18,Action Comedy,130000000,147,Bad Boys II (2003),Bad Boys II,197223900,18,7,3,0,2003
163,PG-13,Buena Vista,2002-06-07,Action Comedy,70000000,117,Bad Company (2002),Bad Company,44539400,7,6,2,0,2002
164,NC-17,Sony Classics,2004-11-19,Foreign,5000000,109,Bad Education (2004),Bad Education,7039900,19,11,4,0,2004
165,R,Paramount,2013-10-25,Comedy,15000000,93,Jackass Presents: Bad Grandpa (2013),Jackass Presents:Bad Grandpa,104861700,25,10,4,0,2013
166,PG-13,Paramount,2005-07-22,Sports Comedy,35000000,111,Bad News Bears (2005),Bad News Bears,43995400,22,7,3,0,2005
167,R,Dimension Films,2003-11-26,Crime Comedy,23000000,93,Bad Santa (2003),Bad Santa,84896500,26,11,4,0,2003
168,R,Sony / Columbia,2011-06-24,Comedy,20000000,89,Bad Teacher (2011),Bad Teacher,107654000,24,6,2,0,2011
169,R,Fox Searchlight,2002-09-20,Comedy,10000000,94,The Banger Sisters (2002),The Banger Sisters,44756900,20,9,3,0,2002
170,R,Lionsgate,2008-09-05,Action / Crime,45000000,100,Bangkok Dangerous (2008),Bangkok Dangerous,18281100,5,9,3,0,2008
171,PG-13,MGM,2002-09-13,Comedy,12000000,102,Barbershop (2002),Barbershop,111898300,13,9,3,0,2002
172,PG-13,MGM,2004-02-06,Comedy,30000000,106,Barbershop 2: Back in Business (2004),Barbershop 2:Back in Business,89960500,6,2,1,0,2004
173,PG,Paramount,2006-08-04,Animation,51000000,83,Barnyard: The Original Party Animals (2006),Barnyard:The Original Party Animals,95150000,4,8,3,0,2006
174,R,TriStar,1992-03-20,Thriller,49000000,123,Basic Instinct (1992),Basic Instinct,243397500,20,3,1,0,1992
175,PG-13,Miramax,2010-08-20,Comedy,19000000,100,The Switch (2010),The Switch,29980800,20,8,3,0,2010
176,PG-13,Warner Bros.,1989-06-23,Action / Adventure,35000000,126,Batman (1989),Batman,540150600,23,6,2,0,1989
177,PG-13,Warner Bros.,2012-07-20,Action Thriller,250000000,165,The Dark Knight Rises (2012),The Dark Knight Rises,494051900,20,7,3,0,2012
178,PG-13,Warner Bros.,1995-06-16,Action / Adventure,100000000,122,Batman Forever (1995),Batman Forever,362985500,16,6,2,0,1995
179,PG-13,Warner Bros.,1992-06-19,Action / Adventure,80000000,126,Batman Returns (1992),Batman Returns,336649600,19,6,2,0,1992
180,PG-13,Warner Bros.,1997-06-20,Action / Adventure,125000000,125,Batman and Robin (1997),Batman and Robin,200620900,20,6,2,0,1997
181,PG-13,Sony / Columbia,2011-03-11,Sci-Fi Action,70000000,116,Battle: Los Angeles (2011),Battle:Los Angeles,91206100,11,3,1,0,2011
182,PG-13,Universal,2012-05-18,Action,209000000,131,Battleship (2012),Battleship,69219200,18,5,2,0,2012
183,PG,Buena Vista,2012-06-22,Animation,185000000,100,Brave (2012),Brave,257034900,22,6,2,0,2012
184,PG-13,CBS Films,2011-03-04,Fantasy,17000000,95,Beastly (2011),Beastly,30418200,4,3,1,0,2011
185,PG-13,Warner Bros.,2013-02-14,Drama,60000000,132,Beautiful Creatures (2013) (2013),Beautiful Creatures (2013),20732800,14,2,1,0,2013
186,PG-13,Universal,2001-12-21,Period Drama,58000000,136,A Beautiful Mind (2001),A Beautiful Mind,252378300,21,12,4,1,2001
187,PG-13,Summit Entertainment,2011-05-06,Comedy / Drama,21000000,91,The Beaver (2011),The Beaver,1033500,6,5,2,1,2011
188,PG-13,MGM,2005-03-04,Crime Comedy,53000000,104,Be Cool (2005),Be Cool,75020700,4,3,1,0,2005
189,PG,Buena Vista,2008-12-25,Family Adventure,80000000,95,Bedtime Stories (2008),Bedtime Stories,131570300,25,12,4,0,2008
190,PG,Paramount (DreamWorks),2007-11-02,Animation,150000000,90,Bee Movie (2007),Bee Movie,157761800,2,11,4,0,2007
191,PG-13,Fox Searchlight,2005-11-11,Drama,14000000,105,Bee Season (2005),Bee Season,1579200,11,11,4,1,2005
192,PG-13,Fox,2001-11-30,Action Thriller,40000000,108,Behind Enemy Lines (2001),Behind Enemy Lines,88737800,30,11,4,0,2001
193,R,USA Films,1999-10-29,Fantasy Comedy,13000000,113,Being John Malkovich (1999),Being John Malkovich,38121400,29,10,4,1,1999
194,PG,Open Road Films,2013-12-25,Documentary,5000000,91,Believe (2013),Believe,6576100,25,12,4,0,2013
195,PG-13,Sony (Revolution),2006-04-07,Sports Comedy,33000000,90,The Benchwarmers (2006),The Benchwarmers,78390700,7,4,2,0,2006
196,PG-13,Paramount,2007-11-16,Animation,150000000,113,Beowulf (2007),Beowulf,102533300,16,11,4,0,2007
197,PG,Fox Searchlight,2015-03-06,Comedy / Drama,10000000,122,The Second Best Exotic Marigold Hotel (2015),The Second Best Exotic Marigold Hotel,34528400,6,3,1,0,2015
198,PG-13,Fox Searchlight,2012-05-04,Comedy / Drama,10000000,118,The Best Exotic Marigold Hotel (2012),The Best Exotic Marigold Hotel,49364200,4,5,2,1,2012
199,R,Universal,1999-10-22,Comedy / Drama,9000000,121,The Best Man (1999),The Best Man,57532800,22,10,4,0,1999
200,R,Universal,2013-11-15,Comedy / Drama,17000000,122,The Best Man Holiday (2013),The Best Man Holiday,72492600,15,11,4,0,2013
201,PG-13,Relativity,2014-10-17,Romance,26000000,117,The Best of Me (2014),The Best of Me,27671600,17,10,4,0,2014
202,R,Paramount,2003-04-11,Crime Drama,250000,98,Better Luck Tomorrow (2003),Better Luck Tomorrow,5410400,11,4,2,1,2003
203,R,Paramount,1994-05-25,Action Comedy,50000000,105,Beverly Hills Cop III (1994),Beverly Hills Cop III,87472700,25,5,2,0,1994
204,R,Sony / Screen Gems,2014-07-02,Horror,30000000,118,Deliver Us From Evil (2014),Deliver Us From Evil,31494800,2,7,3,0,2014
