year,winter_end,summer_start,summer_end,winter_start,valentines,presidents,easter1,easter2,easter3,easter24,mothers,independence,halloween,thanksgiving1,thanksgiving2,blackfriday,blacksaturday,blacksunday,christmaseve,christmas,newyearseve,newyears
1983,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,21-Feb,31-Mar,1-Apr,2-Apr,3-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1984,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,20-Feb,19-Apr,20-Apr,21-Apr,22-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1985,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,18-Feb,4-Apr,5-Apr,6-Apr,7-Apr,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
1986,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,17-Feb,27-Mar,28-Mar,29-Mar,30-Mar,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1987,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,16-Feb,16-Apr,17-Apr,18-Apr,19-Apr,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1988,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,15-Feb,31-Mar,1-Apr,2-Apr,3-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1989,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,20-Feb,23-Mar,24-Mar,25-Mar,26-Mar,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1990,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,19-Feb,12-Apr,13-Apr,14-Apr,15-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1991,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,18-Feb,28-Mar,29-Mar,30-Mar,31-Mar,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
1992,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,17-Feb,16-Apr,17-Apr,18-Apr,19-Apr,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1993,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,15-Feb,8-Apr,9-Apr,10-Apr,11-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1994,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,21-Feb,31-Mar,1-Apr,2-Apr,3-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1995,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,20-Feb,13-Apr,14-Apr,15-Apr,16-Apr,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1996,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,19-Feb,4-Apr,5-Apr,6-Apr,7-Apr,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
1997,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,17-Feb,27-Mar,28-Mar,29-Mar,30-Mar,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1998,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,16-Feb,9-Apr,10-Apr,11-Apr,12-Apr,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1999,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,15-Feb,1-Apr,2-Apr,3-Apr,4-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2000,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,21-Feb,20-Apr,21-Apr,22-Apr,23-Apr,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2001,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,19-Feb,12-Apr,13-Apr,14-Apr,15-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2002,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,18-Feb,28-Mar,29-Mar,30-Mar,31-Mar,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
2003,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,17-Feb,17-Apr,18-Apr,19-Apr,20-Apr,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2004,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,16-Feb,8-Apr,9-Apr,10-Apr,11-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2005,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,21-Feb,24-Mar,25-Mar,26-Mar,27-Mar,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2006,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,20-Feb,13-Apr,14-Apr,15-Apr,16-Apr,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2007,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,19-Feb,5-Apr,6-Apr,7-Apr,8-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2008,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,18-Feb,20-Mar,21-Mar,22-Mar,23-Mar,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2009,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,16-Feb,9-Apr,10-Apr,11-Apr,12-Apr,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2010,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,15-Feb,1-Apr,2-Apr,3-Apr,4-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2011,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,21-Feb,21-Apr,22-Apr,23-Apr,24-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2012,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,20-Feb,5-Apr,6-Apr,7-Apr,8-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
