DATE,USD1MTD156N
2008-05-16,2.47875
2008-05-19,2.45125
2008-05-20,2.43000
2008-05-21,2.40438
2008-05-22,2.39250
2008-05-23,2.38250
2008-05-26,.
2008-05-27,2.37875
2008-05-28,2.38125
2008-05-29,2.45938
2008-05-30,2.45750
2008-06-02,2.45563
2008-06-03,2.45125
2008-06-04,2.45000
2008-06-05,2.44813
2008-06-06,2.44938
2008-06-09,2.44813
2008-06-10,2.47500
2008-06-11,2.47688
2008-06-12,2.47125
2008-06-13,2.48188
2008-06-16,2.48125
2008-06-17,2.48250
2008-06-18,2.48188
2008-06-19,2.48125
2008-06-20,2.48125
2008-06-23,2.48250
2008-06-24,2.48188
2008-06-25,2.48250
2008-06-26,2.48250
2008-06-27,2.47063
2008-06-30,2.46250
2008-07-01,2.46125
2008-07-02,2.46250
2008-07-03,2.46000
2008-07-04,2.46125
2008-07-07,2.46125
2008-07-08,2.45875
2008-07-09,2.45875
2008-07-10,2.45625
2008-07-11,2.45750
2008-07-14,2.46000
2008-07-15,2.45813
2008-07-16,2.45625
2008-07-17,2.45813
2008-07-18,2.45938
2008-07-21,2.46063
2008-07-22,2.46188
2008-07-23,2.46125
2008-07-24,2.46000
2008-07-25,2.45750
2008-07-28,2.46250
2008-07-29,2.46313
2008-07-30,2.46375
2008-07-31,2.46125
2008-08-01,2.46000
2008-08-04,2.46125
2008-08-05,2.46250
2008-08-06,2.46188
2008-08-07,2.46313
2008-08-08,2.46063
2008-08-11,2.46375
2008-08-12,2.46375
2008-08-13,2.46688
2008-08-14,2.46563
2008-08-15,2.46563
2008-08-18,2.47063
2008-08-19,2.47125
2008-08-20,2.47188
2008-08-21,2.47188
2008-08-22,2.47188
2008-08-25,.
2008-08-26,2.47000
2008-08-27,2.46875
2008-08-28,2.48625
2008-08-29,2.48563
2008-09-01,2.48563
2008-09-02,2.48563
2008-09-03,2.48750
2008-09-04,2.48688
2008-09-05,2.48688
2008-09-08,2.48813
2008-09-09,2.48875
2008-09-10,2.48688
2008-09-11,2.48750
2008-09-12,2.48813
2008-09-15,2.49688
2008-09-16,2.74750
2008-09-17,3.03000
2008-09-18,3.18750
2008-09-19,3.19000
2008-09-22,3.17625
2008-09-23,3.20688
2008-09-24,3.42875
2008-09-25,3.70875
2008-09-26,3.70375
2008-09-29,3.72000
2008-09-30,3.92625
2008-10-01,4.00250
2008-10-02,4.04500
2008-10-03,4.11000
2008-10-06,4.09250
2008-10-07,4.14000
2008-10-08,4.29375
2008-10-09,4.51250
2008-10-10,4.58750
2008-10-13,4.56000
2008-10-14,4.46875
2008-10-15,4.35875
2008-10-16,4.27750
2008-10-17,4.18125
2008-10-20,3.75125
2008-10-21,3.52750
2008-10-22,3.27500
2008-10-23,3.25875
2008-10-24,3.24000
2008-10-27,3.21875
2008-10-28,3.17125
2008-10-29,3.11750
2008-10-30,2.85000
2008-10-31,2.58125
2008-11-03,2.35750
2008-11-04,2.17750
2008-11-05,1.95625
2008-11-06,1.76750
2008-11-07,1.62250
2008-11-10,1.53875
2008-11-11,1.47750
2008-11-12,1.40875
2008-11-13,1.42250
2008-11-14,1.47750
2008-11-17,1.47375
2008-11-18,1.45250
2008-11-19,1.41375
2008-11-20,1.39875
2008-11-21,1.39500
2008-11-24,1.41125
2008-11-25,1.43625
2008-11-26,1.43125
2008-11-27,1.90000
2008-11-28,1.90125
2008-12-01,1.91125
2008-12-02,1.89875
2008-12-03,1.89000
2008-12-04,1.87625
2008-12-05,1.86750
2008-12-08,1.82500
2008-12-09,1.63500
2008-12-10,1.43875
2008-12-11,1.19500
2008-12-12,1.04000
2008-12-15,0.96125
2008-12-16,0.88375
2008-12-17,0.58125
2008-12-18,0.50750
2008-12-19,0.47375
2008-12-22,0.46125
2008-12-23,0.47125
2008-12-24,0.47125
2008-12-25,.
2008-12-26,.
2008-12-29,0.46125
2008-12-30,0.44750
2008-12-31,0.43625
2009-01-01,.
2009-01-02,0.43000
2009-01-05,0.42875
2009-01-06,0.42063
2009-01-07,0.40625
2009-01-08,0.38625
2009-01-09,0.36625
2009-01-12,0.34250
2009-01-13,0.33313
2009-01-14,0.32875
2009-01-15,0.33375
2009-01-16,0.35938
2009-01-19,0.35500
2009-01-20,0.35250
2009-01-21,0.35625
2009-01-22,0.38938
2009-01-23,0.40125
2009-01-26,0.40875
2009-01-27,0.41125
2009-01-28,0.40938
2009-01-29,0.41250
2009-01-30,0.41938
2009-02-02,0.43750
2009-02-03,0.44500
2009-02-04,0.44500
2009-02-05,0.44750
2009-02-06,0.44875
2009-02-09,0.44688
2009-02-10,0.44688
2009-02-11,0.45250
2009-02-12,0.45500
2009-02-13,0.46125
2009-02-16,0.46500
2009-02-17,0.46625
2009-02-18,0.47000
2009-02-19,0.47313
2009-02-20,0.47250
2009-02-23,0.47375
2009-02-24,0.47688
2009-02-25,0.47875
2009-02-26,0.49688
2009-02-27,0.49625
2009-03-02,0.49750
2009-03-03,0.50750
2009-03-04,0.51813
2009-03-05,0.53313
2009-03-06,0.54625
2009-03-09,0.56438
2009-03-10,0.56438
2009-03-11,0.55688
2009-03-12,0.55625
2009-03-13,0.55563
2009-03-16,0.55563
2009-03-17,0.55625
2009-03-18,0.54500
2009-03-19,0.52313
2009-03-20,0.52188
2009-03-23,0.52188
2009-03-24,0.52094
2009-03-25,0.52000
2009-03-26,0.52250
2009-03-27,0.51813
2009-03-30,0.50875
2009-03-31,0.50063
2009-04-01,0.49500
2009-04-02,0.48938
2009-04-03,0.47813
2009-04-06,0.47563
2009-04-07,0.46938
2009-04-08,0.46000
2009-04-09,0.45125
2009-04-10,.
2009-04-13,.
2009-04-14,0.45250
2009-04-15,0.44813
2009-04-16,0.44688
2009-04-17,0.44750
2009-04-20,0.44250
2009-04-21,0.44125
2009-04-22,0.44000
2009-04-23,0.43750
2009-04-24,0.43500
2009-04-27,0.43250
2009-04-28,0.42750
2009-04-29,0.41813
2009-04-30,0.41125
2009-05-01,0.41438
2009-05-04,.
2009-05-05,0.40125
2009-05-06,0.39500
2009-05-07,0.38188
2009-05-08,0.36750
2009-05-11,0.35375
2009-05-12,0.34875
2009-05-13,0.34438
2009-05-14,0.33500
2009-05-15,0.32813
2009-05-18,0.31625
2009-05-19,0.30938
2009-05-20,0.30813
2009-05-21,0.30875
2009-05-22,0.31313
2009-05-25,.
2009-05-26,0.31625
2009-05-27,0.31875
2009-05-28,0.32000
2009-05-29,0.31625
2009-06-01,0.32000
2009-06-02,0.32000
2009-06-03,0.31875
2009-06-04,0.31750
2009-06-05,0.32063
2009-06-08,0.32313
2009-06-09,0.32125
2009-06-10,0.32063
2009-06-11,0.31938
